dataset,origin,seed,teacher,student,r_stu,r_legacy,teacher_cal_MASE,ns_cal_MASE,g_soft,action,g_hard
ETTm2,0,2024,QELM-NISQ,DLinear,0.1369241204303662,0.25974047477663087,51.88275732371037,7.104000912051182,0.0,reject,0.0
ETTm2,0,2024,QELM-NISQ,PatchTST,0.17900804876655682,0.25974047477663087,51.72606995375436,9.259382852783991,0.0,reject,0.0
ETTm2,0,2024,QELM-NISQ,N-HiTS,0.148438711663211,0.25974047477663087,51.78692233840954,7.6871840329162735,0.0,reject,0.0
ETTm2,0,2024,ClassicalELM,DLinear,0.489386564058563,0.9278123624473369,14.516133939470137,7.104000912051182,0.0,reject,0.0
ETTm2,0,2024,ClassicalELM,PatchTST,0.6378683808921906,0.9278123624473369,14.516133939470137,9.259382852783991,0.3446709522304764,attenuate,0.0
ETTm2,0,2024,ClassicalELM,N-HiTS,0.5295613876925186,0.9278123624473369,14.516133939470137,7.6871840329162735,0.07390346923129648,attenuate,0.0
ETTm2,1,42,QELM,DLinear,0.18035251692395118,0.36688484754049894,38.44735836996793,6.934077851100858,0.0,reject,0.0
ETTm2,1,42,QELM,PatchTST,0.19938581778985398,0.36688484754049894,38.44735836996793,7.665857990455643,0.0,reject,0.0
ETTm2,1,42,QELM,N-HiTS,0.19564972708353073,0.36688484754049894,38.44735836996793,7.522215172166926,0.0,reject,0.0
ETTm2,1,42,QELM-NISQ,DLinear,0.17700005423772777,0.35964433672699214,39.17556907518083,6.934077851100858,0.0,reject,0.0
ETTm2,1,42,QELM-NISQ,PatchTST,0.19496914733085316,0.35964433672699214,39.31831315570691,7.665857990455643,0.0,reject,0.0
ETTm2,1,42,QELM-NISQ,N-HiTS,0.19109486335650447,0.35964433672699214,39.36377482912015,7.522215172166926,0.0,reject,0.0
ETTm2,1,42,ClassicalELM,DLinear,0.43029799691067766,0.8753403018571791,16.11459477126093,6.934077851100858,0.0,reject,0.0
ETTm2,1,42,ClassicalELM,PatchTST,0.4757090140502371,0.8753403018571791,16.11459477126093,7.665857990455643,0.0,reject,0.0
ETTm2,1,42,ClassicalELM,N-HiTS,0.4667951803282194,0.8753403018571791,16.11459477126093,7.522215172166926,0.0,reject,0.0
ETTm2,1,123,QELM,DLinear,0.16849320251149455,0.3427823935349133,41.150754797308615,6.933622461563776,0.0,reject,0.0
ETTm2,1,123,QELM,PatchTST,0.20975120203955144,0.3427823935349133,41.150754797308615,8.63142028357032,0.0,reject,0.0
ETTm2,1,123,QELM,N-HiTS,0.19105004833025238,0.3427823935349133,41.150754797308615,7.861853692852176,0.0,reject,0.0
ETTm2,1,123,QELM-NISQ,DLinear,0.16478610884757874,0.33513894443243847,42.076498498894274,6.933622461563776,0.0,reject,0.0
ETTm2,1,123,QELM-NISQ,PatchTST,0.20557845376030182,0.33513894443243847,41.986016168962394,8.63142028357032,0.0,reject,0.0
ETTm2,1,123,QELM-NISQ,N-HiTS,0.18751422212171723,0.33513894443243847,41.92670616604736,7.861853692852176,0.0,reject,0.0
