student,teacher,dataset,origin,reference,n_windows,dm_stat,dm_p,boot_lo,boot_hi,ess_ratio
DLinear,QELM,Jena,3,NaiveKD,1600,-4.631596150888534,3.922385322886021e-06,-0.545274341834709,-0.2111952713993378,0.02859459613810368
DLinear,QELM,Jena,3,LegacyPersist,1600,-3.1207480428434526,0.0018361787341646654,-0.20442813987890257,-0.054515304056229105,0.03412087964534101
DLinear,QELM,Jena,4,NaiveKD,1600,-7.693719073517769,2.4838417146286025e-14,-0.6955413439391414,-0.3167689511026256,0.015232124002914536
DLinear,QELM,Jena,4,LegacyPersist,1600,-6.147888483033476,9.897007643799984e-10,-0.26271172340505294,-0.10794918059417984,0.045506298499237575
DLinear,QELM-NISQ,AAPL,0,NaiveKD,486,-0.5679788372037452,0.5703121826993556,-9.796939552627474e-07,6.236067930918663e-07,0.8925099032008128
DLinear,QELM-NISQ,AAPL,0,LegacyPersist,486,0.30299822362992535,0.7620211330650132,4.625032222810596e-08,1.0649953420760697e-06,1.0
DLinear,QELM-NISQ,AAPL,1,NaiveKD,486,1.2987609099096273,0.19464313463534852,-2.798275090754032e-07,7.474484543005623e-07,1.0
DLinear,QELM-NISQ,AAPL,1,LegacyPersist,486,-0.8076362039078543,0.4196959582351085,-1.2851561182044416e-06,5.228975749432794e-07,1.0
DLinear,QELM-NISQ,AAPL,2,NaiveKD,486,1.5269633365912523,0.12742198634461033,-1.6007116332711506e-07,6.40642953798972e-07,1.0
DLinear,QELM-NISQ,AAPL,2,LegacyPersist,486,-0.3310275023850327,0.7407666812472602,-4.4414567580990834e-07,3.875598767504034e-07,1.0
DLinear,QELM-NISQ,AAPL,3,NaiveKD,486,-0.2852535639696813,0.7755716601895735,-4.738599441393658e-07,2.148826587408652e-07,1.0
DLinear,QELM-NISQ,AAPL,3,LegacyPersist,486,0.7035487052739282,0.4820514739196474,-5.162145114607281e-06,1.3890814365734763e-05,1.0
DLinear,QELM-NISQ,AAPL,4,NaiveKD,486,0.6312186942286744,0.5281949010156193,-3.912857898468834e-08,3.64665150903012e-07,0.8679112816824646
DLinear,QELM-NISQ,AAPL,4,LegacyPersist,486,1.2821233200265942,0.20041189599131026,-7.244578175583984e-08,6.258530339126478e-07,1.0
DLinear,QELM-NISQ,ETTh1,0,NaiveKD,1393,-2.756438320772358,0.005919745403479363,-0.17737509861898698,-0.020376510998904074,0.05090440041461398
DLinear,QELM-NISQ,ETTh1,0,LegacyPersist,1393,-1.606638924444112,0.10836039646134644,-0.06004046512298334,0.007486120943041552,0.06864453328863265
DLinear,QELM-NISQ,ETTh1,1,NaiveKD,1393,-5.757368508741359,1.049658796314114e-08,-0.5112170988933182,-0.23608818358212869,0.0381130523561817
