dataset,origin,seed,model,gate,action,cal_MASE,persistence_MASE,diverged,MAE,RMSE,MSE,MASE,Bias,WAPE,teacher,student,policy,picked,MASE_NS,regret,rel_regret
ETTh1,0,42,PatchTST_SoftSR[ClassicalELM],1.0,accept,2.063014261283283,2.4577925311980358,False,1.53715358902376,2.0265244976487056,4.106801539570338,2.0863809010364407,0.3443860437745082,13.99509879164847,ClassicalELM,PatchTST,SoftSR,,2.076449959487368,0.009930941549072703,0.004782653925127309
ETTh1,0,42,PatchTST_HardRejectSR[ClassicalELM],0.0,,2.086425278029993,2.4577925311980358,False,1.529836908528382,2.0110640398760333,4.044378572482511,2.076449959487368,0.1682076049381592,13.9284836745314,ClassicalELM,PatchTST,HardRejectSR,,2.076449959487368,0.0,0.0
ETTh1,0,42,PatchTST_LegacyPersist[ClassicalELM],1.0,,2.0666914674758257,2.4577925311980358,False,1.5312501761325097,2.0178551561461964,4.07173943118579,2.0783681897529447,0.3670724971239063,13.941350846608438,ClassicalELM,PatchTST,LegacyPersist,,2.076449959487368,0.0019182302655766925,0.0009238027898588335
ETTh1,0,42,N-HiTS_NaiveKD[ClassicalELM],1.0,,2.091404677241626,2.4577925311980358,False,1.5664026729511171,2.057347134384019,4.232677231358134,2.126080727075039,0.4357868249577807,14.261398673489524,ClassicalELM,N-HiTS,NaiveKD,,2.134462035970703,-0.00838130889566413,-0.003926661029533144
ETTh1,0,42,N-HiTS_SoftSR[ClassicalELM],1.0,accept,2.09140468572498,2.4577925311980358,False,1.566402672694385,2.057347135411696,4.23267723558671,2.126080726726576,0.435786856079421,14.261398671152092,ClassicalELM,N-HiTS,SoftSR,,2.134462035970703,-0.008381309244126722,-0.0039266611927886086
ETTh1,0,42,N-HiTS_HardRejectSR[ClassicalELM],0.0,,2.1098040700132987,2.4577925311980358,False,1.5725776523344537,2.0660321891261435,4.268489006505364,2.134462035970703,0.410901344658285,14.317619110486374,ClassicalELM,N-HiTS,HardRejectSR,,2.134462035970703,0.0,0.0
ETTh1,0,42,N-HiTS_LegacyPersist[ClassicalELM],1.0,,2.09846011756062,2.4577925311980358,False,1.5738361453177057,2.064056114514476,4.260327643864594,2.136170190408291,0.4640695856187468,14.329077128575763,ClassicalELM,N-HiTS,LegacyPersist,,2.134462035970703,0.0017081544375878721,0.0008002739841709313
ETTh1,0,123,DLinear_NaiveKD[QELM],1.0,,2.0889842089258743,2.4577925311980358,False,1.5953855346794703,2.105115815684186,4.431512597443696,2.165419209318586,0.6720751669738361,14.525274720781974,QELM,DLinear,NaiveKD,,2.0623638018598087,0.10305540745877728,0.04996955792467045
ETTh1,0,123,DLinear_SoftSR[QELM],0.0,reject,2.0093059248375047,2.4577925311980358,False,1.519458847771595,2.0274985535565357,4.1107503846738425,2.0623638018598087,0.3527513241819229,13.833996053649477,QELM,DLinear,SoftSR,,2.0623638018598087,0.0,0.0
ETTh1,0,123,DLinear_HardRejectSR[QELM],0.0,,2.0093059248375047,2.4577925311980358,False,1.519458847771595,2.0274985535565357,4.1107503846738425,2.0623638018598087,0.3527513241819229,13.833996053649477,QELM,DLinear,HardRejectSR,,2.0623638018598087,0.0,0.0
ETTh1,0,123,DLinear_LegacyPersist[QELM],0.5127234355784686,,2.040034781672715,2.4577925311980358,False,1.542831687529026,2.0484964236692926,4.196337597785882,2.094087792761629,0.5036398117609017,14.046795349557414,QELM,DLinear,LegacyPersist,,2.0623638018598087,0.0317239909018201,0.015382344702332285
ETTh1,0,123,PatchTST_NaiveKD[QELM],1.0,,2.192118670896209,2.4577925311980358,False,1.6005139476119346,2.069167702357946,4.281454980481261,2.1723800119809384,0.1964404469729896,14.571966636376294,QELM,PatchTST,NaiveKD,,2.0832735528804984,0.08910645910044002,0.0427723277037883
ETTh1,0,123,PatchTST_SoftSR[QELM],0.0,reject,2.0923585509576044,2.4577925311980358,False,1.534864231712312,2.0165808118251483,4.066598170621374,2.0832735528804984,0.2857157311162243,13.974255212989917,QELM,PatchTST,SoftSR,,2.0832735528804984,0.0,0.0
ETTh1,0,123,PatchTST_HardRejectSR[QELM],0.0,,2.0923585509576044,2.4577925311980358,False,1.534864231712312,2.0165808118251483,4.066598170621374,2.0832735528804984,0.2857157311162243,13.974255212989917,QELM,PatchTST,HardRejectSR,,2.0832735528804984,0.0,0.0
