dataset,origin,student,teacher,policy,MASE,MASE_NS,regret,rel_regret
AAPL,3,DLinear,ClassicalELM,SoftSR,0.62290180938439,0.6283203090691554,-0.005418499684765377,-0.00862327481940138
AAPL,3,DLinear,ClassicalELM,ValSelect,0.62290180938439,0.6283203090691554,-0.005418499684765377,-0.00862327481940138
AAPL,3,DLinear,QELM,HardRejectPersist,0.6203709942273687,0.6283203090691554,-0.007949314841786589,-0.012651395109353022
AAPL,3,DLinear,QELM,HardRejectSR,0.6283203090691554,0.6283203090691554,0.0,0.0
AAPL,3,DLinear,QELM,LegacyPersist,0.6202120495115798,0.6283203090691554,-0.008108259557575548,-0.01290343094478739
AAPL,3,DLinear,QELM,NaiveKD,0.6203709942273687,0.6283203090691554,-0.007949314841786589,-0.012651395109353022
AAPL,3,DLinear,QELM,Oracle,0.6203709942273687,0.6283203090691554,-0.007949314841786589,-0.012651395109353022
AAPL,3,DLinear,QELM,SoftSR,0.6203709942273687,0.6283203090691554,-0.007949314841786589,-0.012651395109353022
AAPL,3,DLinear,QELM,ValSelect,0.6203709942273687,0.6283203090691554,-0.007949314841786589,-0.012651395109353022
AAPL,3,DLinear,QELM-NISQ,HardRejectPersist,0.6203728597298608,0.6283203090691554,-0.007947449339294551,-0.012648446151917132
AAPL,3,DLinear,QELM-NISQ,HardRejectSR,0.6283203090691554,0.6283203090691554,0.0,0.0
AAPL,3,DLinear,QELM-NISQ,LegacyPersist,0.6202185813179106,0.6283203090691554,-0.008101727751244736,-0.012893055233181244
AAPL,3,DLinear,QELM-NISQ,NaiveKD,0.6203728597298608,0.6283203090691554,-0.007947449339294551,-0.012648446151917132
AAPL,3,DLinear,QELM-NISQ,Oracle,0.6203728597298608,0.6283203090691554,-0.007947449339294551,-0.012648446151917132
AAPL,3,DLinear,QELM-NISQ,SoftSR,0.6203702828468146,0.6283203090691554,-0.00795002622234072,-0.012652545538772242
AAPL,3,DLinear,QELM-NISQ,ValSelect,0.6203728597298608,0.6283203090691554,-0.007947449339294551,-0.012648446151917132
AAPL,3,N-HiTS,ClassicalELM,HardRejectPersist,0.6083334252850917,0.6083539237752951,-2.049849020335781e-05,-3.1906091877163086e-05
AAPL,3,N-HiTS,ClassicalELM,HardRejectSR,0.6083539237752951,0.6083539237752951,0.0,0.0
AAPL,3,N-HiTS,ClassicalELM,LegacyPersist,0.6080371577709408,0.6083539237752951,-0.00031676600435426305,-0.0005163283416380299
